ID,Name,Macroarea,ISO,Family,Genus
aba,Abau,Papunesia,aau,Sepik,Abau
abi,Abipón,South America,axb,Guaicuruan,Abipon
abu,Abun,Papunesia,kgr,Abun,Abun
acm,Achumawi,North America,acv,Hokan,Achumawi
adi,Adioukrou,Africa,adj,Niger-Congo,Agneby
abd,Abidji,Africa,abi,Niger-Congo,Agneby
aik,Aikaná,South America,tba,Aikaná,Aikaná
kqq,Krenak,South America,kqq,Macro-Ge,Aimore
ain,Ainu,Eurasia,ain,Ainu,Ainu
qaw,Qawasqar,South America,alc,Alacalufan,Alacalufan
alb,Albanian,Eurasia,sqi,Indo-European,Albanian
aea,Aleut (Eastern),North America,ale,Eskimo-Aleut,Aleut
ale,Aleut,North America,ale,Eskimo-Aleut,Aleut
mhc,Mahican,North America,xpq,Algic,Algonquian
mtt,Massachusett,North America,wam,Algic,Algonquian
unm,Unami,North America,unm,Algic,Algonquian
mse,Munsee,North America,umu,Algic,Algonquian
shw,Shawnee,North America,sjw,Algic,Algonquian
fox,Fox,North America,sac,Algic,Algonquian
psm,Passamaquoddy-Maliseet,North America,pqm,Algic,Algonquian
pot,Potawatomi,North America,pot,Algic,Algonquian
pow,Powhatan,North America,pim,Algic,Algonquian
ojs,Ojibwa (Severn),North America,ojs,Algic,Algonquian
nsk,Naskapi,North America,nsk,Algic,Algonquian
nnt,Nanticoke,North America,nnt,Algic,Algonquian
mtg,Montagnais,North America,moe,Algic,Algonquian
mic,Micmac,North America,mic,Algic,Algonquian
ill,Illinois,North America,mia,Algic,Algonquian
men,Menomini,North America,mez,Algic,Algonquian
kic,Kickapoo,North America,kic,Algic,Algonquian
cea,Cree (Swampy),North America,csw,Algic,Algonquian
cre,Cree (Plains),North America,crk,Algic,Algonquian
mcf,Michif,North America,crg,Algic,Algonquian
cpw,Chippewa (Red Lake and Pillager),North America,ciw,Algic,Algonquian
ojm,Ojibwe (Minnesota),North America,ciw,Algic,Algonquian
cyn,Cheyenne,North America,chy,Algic,Algonquian
bla,Blackfoot,North America,bla,Algic,Algonquian
ati,Atikamekw,North America,atj,Algic,Algonquian
aho,Arapaho,North America,arp,Algic,Algonquian
alg,Algonquin,North America,alq,Algic,Algonquian
abw,Abenaki (Western),North America,abe,Algic,Algonquian
oji,Ojibwa (Eastern),North America,,Algic,Algonquian
woi,Woisika,Papunesia,woi,Greater West Bomberai,Alor-Pantar
tgp,Tanglapui,Papunesia,tpg,Greater West Bomberai,Alor-Pantar
kln,Kolana,Papunesia,kvw,Greater West Bomberai,Alor-Pantar
kiu,Kui (in Indonesia),Papunesia,kvd,Greater West Bomberai,Alor-Pantar
adg,Adang,Papunesia,adn,Greater West Bomberai,Alor-Pantar
abv,Abui,Papunesia,abz,Greater West Bomberai,Alor-Pantar
als,Alsea,North America,aes,Oregon Coast,Alsea
wrk,Warekena,South America,gae,Arawakan,Alto-Orinoco
bnv,Baniva,South America,bvv,Arawakan,Alto-Orinoco
mpr,Maipure,South America,,Arawakan,Alto-Orinoco
amz,Amuzgo,North America,amu,Oto-Manguean,Amuzgoan
adk,Andoke,South America,ano,Andoke,Andoke
ane,Anêm,Papunesia,anz,Anêm,Anêm
ant,Angaataha,Papunesia,agm,Trans-New Guinea,Angaataha
sem,Sema,Eurasia,nsm,Sino-Tibetan,Angami-Pochuri
agm,Angami,Eurasia,njm,Sino-Tibetan,Angami-Pochuri
nma,Naga (Mao),Eurasia,nbi,Sino-Tibetan,Angami-Pochuri
ann,Anindilyakwa,Australia,aoi,Gunwinyguan,Anindilyakwa
grf,Garífuna,North America,cab,Arawakan,Antillean Arawakan
ara,Lokono,South America,arw,Arawakan,Antillean Arawakan
kbo,Kambot,Papunesia,kbx,Keram,Ap Ma
pau,Paumarí,South America,pad,Arauan,Arauan
bna,Banawá,South America,jaa,Arauan,Arauan
jmm,Jamamadi,South America,jaa,Arauan,Arauan
jwr,Jarawara,South America,jaa,Arauan,Arauan
den,Dení,South America,dny,Arauan,Arauan
cul,Culina,South America,cul,Arauan,Arauan
map,Mapudungun,South America,arn,Araucanian,Araucanian
dam,Damana,South America,mbp,Chibchan,Arhuacic
cog,Cogui,South America,kog,Chibchan,Arhuacic
ika,Ika,South America,arh,Chibchan,Arhuacic
kna,Karitiâna,South America,ktn,Tupian,Arikem
arw,Armenian (Western),Eurasia,hyw,Indo-European,Armenian
arm,Armenian (Eastern),Eurasia,hye,Indo-European,Armenian
